Date,Value
02/1956,35.31
03/1956,35.31
04/1956,35.31
05/1956,35.31
06/1956,35.31
07/1956,35.31
08/1956,35.31
09/1956,35.31
10/1956,35.31
11/1956,35.31
12/1956,35.31
01/1957,35.0
02/1957,35.0
03/1957,35.0
04/1957,35.0
05/1957,35.0
06/1957,35.0
07/1957,35.0
08/1957,35.0
09/1957,35.0
10/1957,35.0
11/1957,35.0
12/1957,35.0
01/1958,35.31
02/1958,35.31
03/1958,35.31
04/1958,35.31
05/1958,35.31
06/1958,35.31
07/1958,35.31
08/1958,35.31
09/1958,35.31
10/1958,35.31
11/1958,35.31
12/1958,35.31
01/1959,35.31
02/1959,35.31
03/1959,35.31
04/1959,35.31
05/1959,35.31
06/1959,35.31
07/1959,35.31
08/1959,35.31
09/1959,35.31
10/1959,35.31
11/1959,35.31
12/1959,35.31
01/1960,35.31
02/1960,35.31
03/1960,35.31
04/1960,35.31
05/1960,35.31
06/1960,35.31
07/1960,35.31
08/1960,35.31
09/1960,35.31
10/1960,35.31
11/1960,35.31
12/1960,35.31
01/1961,35.31
02/1961,35.31
03/1961,35.31
04/1961,35.31
05/1961,35.31
06/1961,35.31
07/1961,35.31
08/1961,35.31
09/1961,35.31
10/1961,35.31
11/1961,35.31
12/1961,35.31
01/1962,35.31
02/1962,35.31
03/1962,35.31
04/1962,35.31
05/1962,35.31
06/1962,35.31
07/1962,35.31
08/1962,35.31
09/1962,35.31
10/1962,35.31
11/1962,35.31
12/1962,35.31
01/1963,35.31
02/1963,35.31
03/1963,35.31
04/1963,35.31
05/1963,35.31
06/1963,35.31
07/1963,35.31
08/1963,35.31
09/1963,35.31
10/1963,35.31
11/1963,35.31
12/1963,35.31
01/1964,35.31
02/1964,35.31
03/1964,35.31
04/1964,35.31
05/1964,35.31
06/1964,35.31
07/1964,35.31
08/1964,35.31
09/1964,35.31
10/1964,35.31
11/1964,35.31
12/1964,35.31
01/1965,35.31
02/1965,35.31
03/1965,35.31
04/1965,35.31
05/1965,35.31
06/1965,35.31
07/1965,35.31
08/1965,35.31
09/1965,35.31
10/1965,35.31
11/1965,35.31
12/1965,35.31
01/1966,35.31
02/1966,35.31
03/1966,35.31
04/1966,35.31
05/1966,35.31
06/1966,35.31
07/1966,35.31
08/1966,35.31
09/1966,35.31
10/1966,35.31
11/1966,35.31
12/1966,35.31
01/1967,35.31
02/1967,35.31
03/1967,35.31
04/1967,35.31
05/1967,35.31
06/1967,35.31
07/1967,35.31
08/1967,35.31
09/1967,35.31
10/1967,35.31
11/1967,35.31
12/1967,35.31
01/1968,40.31
02/1968,40.31
03/1968,40.31
04/1968,39.1
05/1968,42.0
06/1968,40.95
07/1968,38.9
08/1968,39.85
09/1968,39.7
10/1968,39.2
11/1968,39.85
12/1968,41.95
01/1969,42.55
02/1969,42.78
03/1969,43.1
04/1969,43.6
05/1969,43.15
06/1969,41.23
07/1969,41.45
08/1969,40.95
09/1969,40.65
10/1969,39.85
11/1969,35.55
12/1969,35.21
01/1970,34.98
02/1970,35.0
03/1970,35.3
04/1970,35.85
05/1970,35.5
06/1970,35.51
07/1970,35.29
08/1970,35.78
09/1970,36.24
10/1970,37.4
11/1970,37.6
12/1970,37.38
01/1971,38.0
02/1971,38.79
03/1971,38.8
04/1971,39.6
05/1971,40.8
06/1971,40.2
07/1971,42.48
08/1971,41.0
09/1971,42.48
10/1971,42.4
11/1971,43.55
12/1971,43.5
01/1972,46.95
02/1972,48.4
03/1972,48.38
04/1972,49.5
05/1972,59.3
06/1972,64.1
07/1972,68.9
08/1972,66.8
09/1972,64.1
10/1972,64.43
11/1972,63.6
12/1972,64.7
01/1973,66.0
02/1973,85.3
03/1973,90.25
04/1973,90.7
05/1973,114.5
06/1973,123.5
07/1973,115.2
08/1973,104.0
09/1973,100.25
10/1973,97.25
11/1973,100.25
12/1973,112.25
01/1974,133.25
02/1974,169.5
03/1974,173.0
04/1974,168.5
05/1974,156.5
06/1974,146.75
07/1974,154.0
08/1974,155.25
09/1974,147.5
10/1974,166.4
11/1974,182.0
12/1974,187.5
01/1975,176.25
02/1975,181.75
03/1975,177.75
04/1975,167.4
05/1975,167.75
06/1975,166.0
07/1975,166.4
08/1975,161.5
09/1975,138.25
10/1975,143.4
11/1975,138.25
12/1975,140.25
01/1976,128.0
02/1976,132.3
03/1976,129.5
04/1976,128.15
05/1976,125.25
06/1976,123.8
07/1976,112.4
08/1976,103.05
09/1976,116.1
10/1976,122.3
11/1976,130.1
12/1976,134.55
01/1977,132.1
02/1977,142.25
03/1977,149.8
04/1977,146.5
05/1977,143.2
06/1977,142.95
07/1977,144.5
08/1977,146.0
09/1977,153.9
10/1977,160.8
11/1977,159.8
12/1977,165.6
01/1978,175.2
02/1978,182.0
03/1978,180.75
04/1978,170.0
05/1978,184.9
06/1978,183.2
07/1978,198.9
08/1978,207.3
09/1978,217.45
10/1978,243.65
11/1978,193.7
12/1978,224.5
01/1979,233.05
02/1979,250.9
03/1979,239.65
04/1979,243.45
05/1979,277.15
06/1979,276.45
07/1979,295.35
08/1979,317.75
09/1979,397.0
10/1979,379.75
11/1979,417.2
12/1979,524.0
01/1980,668.0
02/1980,640.0
03/1980,503.25
04/1980,519.25
05/1980,531.4
06/1980,662.5
07/1980,618.0
08/1980,633.75
09/1980,670.0
10/1980,636.0
11/1980,621.5
12/1980,589.5
01/1981,507.5
02/1981,490.25
03/1981,514.25
04/1981,481.0
05/1981,478.75
06/1981,421.5
07/1981,405.25
08/1981,425.5
09/1981,426.5
10/1981,429.0
11/1981,415.5
12/1981,400.0
01/1982,388.25
02/1982,363.25
03/1982,320.5
04/1982,356.75
05/1982,325.5
06/1982,314.0
07/1982,342.5
08/1982,409.6
09/1982,394.75
10/1982,422.0
11/1982,428.25
12/1982,448.0
01/1983,503.0
02/1983,419.75
03/1983,414.25
04/1983,428.5
05/1983,439.0
06/1983,416.75
07/1983,422.25
08/1983,414.5
09/1983,404.0
10/1983,383.5
11/1983,405.75
12/1983,381.5
01/1984,371.9
02/1984,396.6
03/1984,388.5
04/1984,376.2
05/1984,383.45
06/1984,375.25
07/1984,341.6
08/1984,347.7
09/1984,344.15
10/1984,334.5
11/1984,328.6
12/1984,309.0
01/1985,304.9
02/1985,290.5
03/1985,329.8
04/1985,324.65
05/1985,313.15
06/1985,316.5
07/1985,328.1
08/1985,335.75
09/1985,326.5
10/1985,325.75
11/1985,327.4
12/1985,327.0
01/1986,354.0
02/1986,338.25
03/1986,345.5
04/1986,344.75
05/1986,343.35
06/1986,345.5
07/1986,357.75
08/1986,386.0
09/1986,421.2
10/1986,401.5
11/1986,390.0
12/1986,390.9
01/1987,407.3
02/1987,405.75
03/1987,419.0
04/1987,454.5
05/1987,451.75
06/1987,447.1
07/1987,464.25
08/1987,455.9
09/1987,459.15
10/1987,468.0
11/1987,493.9
12/1987,486.5
01/1988,465.25
02/1988,423.75
03/1988,458.0
04/1988,449.75
05/1988,454.0
06/1988,436.85
07/1988,432.7
08/1988,426.35
09/1988,396.15
10/1988,412.3
11/1988,421.3
12/1988,410.15
01/1989,394.85
02/1989,386.75
03/1989,382.3
04/1989,381.3
05/1989,363.5
06/1989,371.15
07/1989,369.1
08/1989,359.6
09/1989,369.0
10/1989,376.05
11/1989,406.8
12/1989,401.0
01/1990,417.55
02/1990,409.1
03/1990,372.2
04/1990,371.55
05/1990,363.7
06/1990,352.4
07/1990,371.1
08/1990,388.1
09/1990,406.1
10/1990,379.25
11/1990,384.8
12/1990,391.0
01/1991,369.6
02/1991,363.0
03/1991,354.0
04/1991,353.45
05/1991,361.55
06/1991,366.9
07/1991,363.6
08/1991,347.0
09/1991,350.5
10/1991,357.4
11/1991,366.85
12/1991,353.4
01/1992,354.15
02/1992,353.05
03/1992,341.5
04/1992,336.25
05/1992,337.55
06/1992,343.4
07/1992,357.95
08/1992,340.5
09/1992,349.0
10/1992,338.8
11/1992,333.7
12/1992,332.9
01/1993,330.75
02/1993,328.75
03/1993,336.9
04/1993,353.45
05/1993,381.0
06/1993,379.0
07/1993,403.7
08/1993,370.6
09/1993,352.65
10/1993,369.1
11/1993,370.8
12/1993,390.65
01/1994,378.2
02/1994,380.75
03/1994,389.7
04/1994,376.45
05/1994,386.25
06/1994,385.4
07/1994,384.05
08/1994,386.25
09/1994,395.35
10/1994,387.4
11/1994,383.35
12/1994,382.5
01/1995,375.85
02/1995,375.7
03/1995,386.55
04/1995,389.5
05/1995,384.25
06/1995,387.6
07/1995,383.35
08/1995,381.65
09/1995,383.75
10/1995,382.4
11/1995,387.85
12/1995,386.7
01/1996,403.2
02/1996,400.35
03/1996,396.7
04/1996,390.15
05/1996,390.55
06/1996,381.3
07/1996,385.5
08/1996,387.25
09/1996,379.3
10/1996,379.3
11/1996,371.9
12/1996,369.55
01/1997,345.0
02/1997,360.6
03/1997,349.5
04/1997,340.45
05/1997,345.75
06/1997,334.05
07/1997,326.0
08/1997,325.4
09/1997,328.75
10/1997,310.4
11/1997,296.9
12/1997,289.2
01/1998,301.8
02/1998,296.55
03/1998,299.9
04/1998,310.7
05/1998,292.4
06/1998,295.75
07/1998,289.4
08/1998,273.4
09/1998,294.1
10/1998,293.1
11/1998,295.75
12/1998,287.45
01/1999,285.65
02/1999,286.8
03/1999,279.8
04/1999,285.85
05/1999,271.05
06/1999,261.2
07/1999,256.75
08/1999,254.6
09/1999,303.75
10/1999,298.85
11/1999,292.0
12/1999,290.85
01/2000,283.05
02/2000,294.0
03/2000,275.9
04/2000,275.85
05/2000,272.25
06/2000,289.15
07/2000,277.4
08/2000,274.95
09/2000,274.1
10/2000,263.8
11/2000,267.0
12/2000,272.65
01/2001,266.2
02/2001,265.0
03/2001,259.05
04/2001,263.45
05/2001,266.1
06/2001,269.9
07/2001,265.55
08/2001,275.35
